lines,analysis,reference,aligner,method,filtering,mass
531472,clinvar_miscalls,grch38,bwameth,wgbs,combined,200ng
279375,clinvar_miscalls,grch38,bwameth,emseq,combined,10ng
279566,clinvar_miscalls,grch38,bwameth,emseq,combined,50ng
371421,clinvar_miscalls,grch38,bismark,wgbs,combined,10ng
267978,clinvar_miscalls,grch38,bwameth,emseq,combined,200ng
851632,clinvar_miscalls,grch38,bismark,wgbs,combined,50ng
416832,clinvar_miscalls,grch38,bismark,wgbs,combined,200ng
457543,clinvar_miscalls,grch38,bismark,emseq,combined,50ng
440149,clinvar_miscalls,grch38,bismark,emseq,combined,200ng
455767,clinvar_miscalls,grch38,bismark,emseq,combined,10ng
7812793,miscalls,grch38,bwameth,wgbs,combined,200ng
36950,miscalled_clinvar_genes,grch38,bwameth,wgbs,combined,200ng
5735425,miscalls,grch38,bwameth,wgbs,combined,10ng
10230,miscalled_clinvar_genes,grch38,bwameth,wgbs,combined,10ng
33260,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,200ng
2813730,miscalls_lowmap,t2t,bismark,emseq,combined,200ng
4635,miscalled_clinvar_genes_lowmap,t2t,bismark,emseq,combined,200ng
33286,clinvar_miscalls,t2t,bismark,emseq,combined,200ng
410412,miscalls,t2t,bwameth,wgbs,combined,50ng
1798454,miscalls,t2t,bismark,wgbs,combined,200ng
1191,miscalled_clinvar_genes,t2t,bwameth,wgbs,combined,50ng
3362,miscalled_clinvar_genes,t2t,bismark,wgbs,combined,200ng
423102,miscalls,t2t,bwameth,wgbs,combined,200ng
1786181,miscalls,t2t,bismark,wgbs,combined,50ng
1795,miscalled_clinvar_genes,t2t,bwameth,wgbs,combined,200ng
3689,miscalled_clinvar_genes,t2t,bismark,wgbs,combined,50ng
6515779,miscalls,grch38,bwameth,wgbs,combined,50ng
1215244,resolved_calls,grch38,bwameth,wgbs,combined,200ng
10315,miscalled_clinvar_genes,grch38,bwameth,wgbs,combined,50ng
36338,resolved_clinvar_genes,grch38,bwameth,wgbs,combined,200ng
607521,miscalls,t2t,bwameth,emseq,combined,200ng
1312,miscalled_clinvar_genes,t2t,bwameth,emseq,combined,200ng
300241,miscalls,t2t,bwameth,wgbs,combined,10ng
648005,miscalls,t2t,bwameth,emseq,combined,50ng
7733109,miscalls,grch38,bwameth,emseq,combined,200ng
769,miscalled_clinvar_genes,t2t,bwameth,wgbs,combined,10ng
20048,miscalled_clinvar_genes,t2t,bwameth,emseq,combined,50ng
9009,miscalled_clinvar_genes,grch38,bwameth,emseq,combined,200ng
24730,resolved_calls,grch38,bwameth,wgbs,combined,10ng
6373,resolved_clinvar_genes,grch38,bwameth,wgbs,combined,10ng
7740191,miscalls,grch38,bwameth,emseq,combined,50ng
63488,resolved_calls,grch38,bwameth,emseq,combined,200ng
2071,resolved_calls,t2t,bwameth,wgbs,combined,10ng
9308,miscalled_clinvar_genes,grch38,bwameth,emseq,combined,50ng
8258,resolved_clinvar_genes,grch38,bwameth,emseq,combined,200ng
161,resolved_clinvar_genes,t2t,bwameth,wgbs,combined,10ng
3815,resolved_calls,t2t,bwameth,wgbs,combined,200ng
8200083,miscalls,grch38,bismark,wgbs,combined,200ng
177,resolved_clinvar_genes,t2t,bwameth,wgbs,combined,200ng
10351496,miscalls,grch38,bismark,emseq,combined,50ng
11009,miscalled_clinvar_genes,grch38,bismark,wgbs,combined,200ng
10206,miscalled_clinvar_genes,grch38,bismark,emseq,combined,50ng
11297,resolved_calls,t2t,bismark,wgbs,combined,200ng
927,resolved_clinvar_genes,t2t,bismark,wgbs,combined,200ng
3499,resolved_calls,t2t,bwameth,wgbs,combined,50ng
488874,miscalls,t2t,bwameth,emseq,combined,10ng
2679590,miscalls,t2t,bismark,emseq,combined,50ng
10994,resolved_calls,t2t,bismark,wgbs,combined,50ng
204,resolved_clinvar_genes,t2t,bwameth,wgbs,combined,50ng
1262,miscalled_clinvar_genes,t2t,bwameth,emseq,combined,10ng
4833,miscalled_clinvar_genes,t2t,bismark,emseq,combined,50ng
1193,resolved_clinvar_genes,t2t,bismark,wgbs,combined,50ng
806434,resolved_calls,t2t,bwameth,emseq,combined,50ng
9974750,miscalls,grch38,bismark,emseq,combined,10ng
38035,resolved_clinvar_genes,t2t,bwameth,emseq,combined,50ng
62253,resolved_calls,grch38,bwameth,emseq,combined,50ng
10742,miscalled_clinvar_genes,grch38,bismark,emseq,combined,10ng
3690,resolved_calls,t2t,bwameth,emseq,combined,200ng
8256,resolved_clinvar_genes,grch38,bwameth,emseq,combined,50ng
558,resolved_clinvar_genes,t2t,bwameth,emseq,combined,200ng
7533119,miscalls,grch38,bwameth,emseq,combined,10ng
9775,miscalled_clinvar_genes,grch38,bwameth,emseq,combined,10ng
46246,resolved_calls,grch38,bismark,wgbs,combined,200ng
8072,resolved_clinvar_genes,grch38,bismark,wgbs,combined,200ng
2801,resolved_calls,t2t,bwameth,emseq,combined,10ng
364,resolved_clinvar_genes,t2t,bwameth,emseq,combined,10ng
10117,resolved_calls,t2t,bismark,emseq,combined,50ng
1762,resolved_clinvar_genes,t2t,bismark,emseq,combined,50ng
42603,resolved_calls,grch38,bwameth,wgbs,combined,50ng
8425,resolved_clinvar_genes,grch38,bwameth,wgbs,combined,50ng
90183,resolved_calls,grch38,bwameth,emseq,combined,10ng
9157,resolved_clinvar_genes,grch38,bwameth,emseq,combined,10ng
98816,resolved_calls,grch38,bismark,emseq,combined,10ng
9796,resolved_clinvar_genes,grch38,bismark,emseq,combined,10ng
1598881,miscalls,t2t,bismark,wgbs,combined,10ng
3178,miscalled_clinvar_genes,t2t,bismark,wgbs,combined,10ng
8167,resolved_calls,t2t,bismark,wgbs,combined,10ng
599,resolved_clinvar_genes,t2t,bismark,wgbs,combined,10ng
2248006,miscalls,t2t,bismark,emseq,combined,10ng
4563,miscalled_clinvar_genes,t2t,bismark,emseq,combined,10ng
7176935,miscalls,grch38,bismark,wgbs,combined,10ng
10340693,miscalls,grch38,bismark,emseq,combined,200ng
10787,miscalled_clinvar_genes,grch38,bismark,wgbs,combined,10ng
10066,miscalled_clinvar_genes,grch38,bismark,emseq,combined,200ng
9752,resolved_calls,t2t,bismark,emseq,combined,10ng
1536,resolved_clinvar_genes,t2t,bismark,emseq,combined,10ng
70858,resolved_calls,grch38,bismark,emseq,combined,50ng
9226,resolved_clinvar_genes,grch38,bismark,emseq,combined,50ng
71212,resolved_calls,grch38,bismark,emseq,combined,200ng
